Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-05 00:00:00+09:00,62356.52993556293,62751.19151743359,62159.19914462761,62395.99609375,5220,0.0,0.0
2021-07-06 00:00:00+09:00,62395.98821491745,62869.58205336084,62238.12360210298,62751.18359375,5308,0.0,0.0
2021-07-07 00:00:00+09:00,62711.71491310637,62790.64721633243,62238.12109375,62238.12109375,4804,0.0,0.0
2021-07-08 00:00:00+09:00,62277.593661389416,62987.984463610584,62277.593661389416,62632.7890625,5958,0.0,0.0
2021-07-09 00:00:00+09:00,62277.58715942996,62987.977887484296,62001.324098519945,62830.11328125,8666,0.0,0.0
2021-07-12 00:00:00+09:00,63066.90882009346,63422.10417640187,62869.57806658878,63343.171875,5990,0.0,0.0
2021-07-13 00:00:00+09:00,63343.17589180424,63737.83742384041,62751.18359374999,62751.18359375,7006,0.0,0.0
2021-07-14 00:00:00+09:00,62751.18995633188,63264.25,62672.2576419214,63264.25,5216,0.0,0.0
2021-07-15 00:00:00+09:00,63145.841165413534,63501.036521968985,62987.9765625,62987.9765625,3992,0.0,0.0
2021-07-16 00:00:00+09:00,62987.989440728066,63579.9818226898,62830.124805538275,63422.1171875,3814,0.0,0.0
2021-07-19 00:00:00+09:00,63224.78932883523,63501.05245324337,62514.3984375,62514.3984375,4536,0.0,0.0
2021-07-20 00:00:00+09:00,62119.71746036488,62238.11590533381,61606.65753216619,61922.38671875,5186,0.0,0.0
2021-07-21 00:00:00+09:00,61882.92320627802,62356.51700632607,61606.66015625,61606.66015625,3834,0.0,0.0
2021-07-26 00:00:00+09:00,62711.72566182964,62711.72566182964,61409.342435372506,61448.80859375,6000,0.0,0.0
2021-07-27 00:00:00+09:00,61685.59502301897,62040.790387834815,61448.79811314174,61882.92578125,3302,0.0,0.0
2021-07-28 00:00:00+09:00,61882.93986742424,62593.33075875947,61804.00754616477,62514.3984375,4762,0.0,0.0
2021-07-29 00:00:00+09:00,62277.5833168825,62909.04170285849,61764.523378277,62474.9140625,11080,0.0,0.0
2021-07-30 00:00:00+09:00,62119.71873022152,62593.31251977848,62001.320282832276,62356.515625,6186,0.0,0.0
2021-08-02 00:00:00+09:00,62593.31911478212,62672.25142135814,62001.32681546199,62040.79296875,4596,0.0,0.0
2021-08-03 00:00:00+09:00,62119.72274394644,62198.65504730596,61527.73046875,61527.73046875,4170,0.0,0.0
2021-08-04 00:00:00+09:00,61409.33471885113,61527.733179105984,60856.80857099514,60975.20703125,7040,0.0,0.0
2021-08-05 00:00:00+09:00,61133.07391997866,62474.923186137006,61133.07391997866,62435.45703125,7668,0.0,0.0
2021-08-06 00:00:00+09:00,62001.32434223791,62040.790493951616,61172.53515625,61172.53515625,4864,0.0,0.0
2021-08-10 00:00:00+09:00,61764.52221695613,61882.920662100456,60501.60546875,60501.60546875,5192,0.0,0.0
2021-08-11 00:00:00+09:00,60580.54677399807,61803.99755575308,60580.54677399807,61054.140625,4108,0.0,0.0
2021-08-12 00:00:00+09:00,60975.20184405438,61211.998744419645,60659.47264356737,60777.87109375,3332,0.0,0.0
2021-08-13 00:00:00+09:00,60856.81519923403,61093.61214553455,60422.68746434974,60541.0859375,2008,0.0,0.0
2021-08-16 00:00:00+09:00,60422.6849676017,60620.015748031496,60067.48956282808,60146.421875,3806,0.0,0.0
2021-08-17 00:00:00+09:00,60146.42315489843,60580.55088108208,59988.55852719529,60225.35546875,2936,0.0,0.0
2021-08-18 00:00:00+09:00,60146.41266777167,61014.66796875,60146.41266777167,61014.66796875,2906,0.0,0.0
2021-08-19 00:00:00+09:00,60698.93621065721,60856.800804182974,60501.60546875,60501.60546875,3112,0.0,0.0
2021-08-20 00:00:00+09:00,60264.81902920082,60935.74366803279,59751.75901127049,60185.88671875,3952,0.0,0.0
2021-08-23 00:00:00+09:00,59909.621234375,60304.282770833335,59159.76431510417,59199.23046875,6436,0.0,0.0
2021-08-24 00:00:00+09:00,59120.294276052104,59751.75269288577,59080.828125,59080.828125,6734,0.0,0.0
2021-08-25 00:00:00+09:00,59199.23180564839,59593.89335101938,59041.3671875,59041.3671875,3284,0.0,0.0
2021-08-26 00:00:00+09:00,59357.100016382705,60304.287782601576,59278.16770253113,60225.35546875,6514,0.0,0.0
2021-08-27 00:00:00+09:00,60304.291174121405,61961.86985822684,60106.96037839457,61764.5390625,7276,0.0,0.0
2021-08-30 00:00:00+09:00,61172.540128291555,62198.66015625,61133.07397337008,62198.66015625,6792,0.0,0.0
2021-08-31 00:00:00+09:00,61764.531530474866,61803.997684807444,60462.1484375,60462.1484375,6590,0.0,0.0
2021-09-01 00:00:00+09:00,60383.22542071264,60738.420864363885,59830.69917503291,59949.09765625,6368,0.0,0.0
2021-09-02 00:00:00+09:00,60028.01557904411,60777.872446895424,60028.01557904411,60383.2109375,4898,0.0,0.0
2021-09-03 00:00:00+09:00,60383.219964036085,60935.746159785434,59988.55839564369,60698.94921875,5680,0.0,0.0
2021-09-06 00:00:00+09:00,61488.268321751784,61527.73447600194,60975.20831649968,61054.140625,3242,0.0,0.0
2021-09-07 00:00:00+09:00,61212.01061868481,61290.94293411832,60541.0859375,60541.0859375,3548,0.0,0.0
2021-09-08 00:00:00+09:00,60106.9465177272,61014.66796875,60106.9465177272,61014.66796875,6216,0.0,0.0
2021-09-09 00:00:00+09:00,61093.61339546783,61330.410346613055,60620.01949317738,60738.41796875,5090,0.0,0.0
2021-09-10 00:00:00+09:00,61211.99613961595,61211.99613961595,60501.60546875,60501.60546875,6574,0.0,0.0
2021-09-13 00:00:00+09:00,60501.6184345538,60975.21231662467,60501.6184345538,60698.94921875,4134,0.0,0.0
2021-09-14 00:00:00+09:00,60817.33979082662,61290.933611391134,60817.33979082662,61172.53515625,5058,0.0,0.0
2021-09-15 00:00:00+09:00,61251.47802956465,61606.673456282486,60580.55333465318,60738.41796875,6576,0.0,0.0
2021-09-16 00:00:00+09:00,60896.2656454115,61133.062530617244,60185.874989794254,60422.671875,7636,0.0,0.0
2021-09-17 00:00:00+09:00,60383.207023605675,60620.003913894325,59949.07939140982,60501.60546875,9370,0.0,0.0
2021-09-21 00:00:00+09:00,59988.5598718791,60462.15376560447,59988.5598718791,60067.4921875,5710,0.0,0.0
